GenreTitle;GenreId
Фэнтези;1
Научная фантастика;2
Детектив;3
Приключения;4
Роман;5
Триллер;6
Мистика;7
Реализм;8
Фантастический реализм;9
Историческая проза;10
Драма;11
Комедия;12
Ужасы;13
Поэзия;14
Биография;15
Философия;16
Психология;17
Религия;18
Нон-фикшн;19
Фэнфик (фанфикшн);20
Детская литература;21
Юношеская литература;22
Фэнтези для детей;23
Хоррор для подростков;24
Романтика;25
Фантастическая романтика;26
Исторический роман;27
Политический триллер;28
Экологическая проза;29
Юридический детектив;30
