StoredProductIdShop;StoredProductISBN;StoredProductCount;StoredProductStatus;StoredProductDateChange;;;;;;
1;9,7859E+12;48;1;2023.02.01;;;В наличии;;;9,79E+12
1;9,78567E+12;16;1;2023.04.03;;;В наличии;;;9,79E+12
1;9,78565E+12;28;1;2023.06.08;;;В наличии;;;9,79E+12
1;9,78511E+12;9;1;2023.03.11;;;В наличии;;;9,79E+12
1;9,78519E+12;16;1;2023.05.10;;;В наличии;;;9,79E+12
1;9,78516E+12;32;1;2023.08.11;;;В наличии;;;9,79E+12
1;9,78512E+12;10;1;2023.06.12;;;В наличии;;;9,79E+12
1;9,78512E+12;7;1;2023.11.10;;;В наличии;;;9,79E+12
1;9,78527E+12;33;1;2023.03.09;;;В наличии;;;9,79E+12
1;9,78513E+12;11;1;2023.05.03;;;В наличии;;;9,79E+12
1;9,78543E+12;32;1;2023.07.06;;;В наличии;;;9,79E+12
1;9,78519E+12;6;1;2023.11.01;;;В наличии;;;9,79E+12
1;9,78565E+12;49;1;2023.08.03;;;В наличии;;;9,79E+12
1;9,7859E+12;13;1;2023.04.10;;;В наличии;;;9,79E+12
1;9,78567E+12;40;1;2023.08.12;;;В наличии;;;9,79E+12
1;9,78565E+12;1;1;2023.03.07;;;В наличии;;;9,79E+12
1;9,78511E+12;11;1;2023.10.02;;;В наличии;;;9,79E+12
1;9,78519E+12;26;1;2023.02.11;;;В наличии;;;9,79E+12
1;9,78543E+12;48;1;2023.10.06;;;В наличии;;;9,79E+12
1;9,78512E+12;26;1;2023.09.10;;;В наличии;;;9,79E+12
1;9,78527E+12;45;1;2023.03.07;;;В наличии;;;9,79E+12
1;9,78527E+12;11;1;2023.09.02;;;В наличии;;;9,79E+12
1;9,78519E+12;21;1;2023.09.03;;;В наличии;;;9,79E+12
1;9,78543E+12;43;1;2023.08.01;;;В наличии;;;9,79E+12
1;9,78565E+12;9;1;2023.07.01;;;В наличии;;;9,79E+12
1;9,78527E+12;39;1;2023.02.07;;;В наличии;;;9,79E+12
1;9,78567E+12;46;1;2023.09.09;;;В наличии;;;9,79E+12
1;9,78526E+12;46;1;2023.04.04;;;В наличии;;;9,79E+12
1;9,78567E+12;24;1;2023.07.10;;;В наличии;;;9,79E+12
1;9,78521E+12;15;1;2023.11.11;;;В наличии;;;9,79E+12
1;9,78543E+12;22;1;2023.07.10;;;В наличии;;;9,79E+12
1;9,78565E+12;9;1;2023.11.05;;;В наличии;;;9,79E+12
1;9,78516E+12;20;1;2023.07.01;;;В наличии;;;9,79E+12
1;9,78526E+12;4;1;2023.08.05;;;В наличии;;;9,79E+12
1;9,78516E+12;34;1;2023.10.10;;;В наличии;;;9,79E+12
1;9,78521E+12;9;1;2023.03.07;;;В наличии;;;9,79E+12
1;9,78536E+12;11;1;2023.11.11;;;В наличии;;;9,79E+12
1;9,78542E+12;45;1;2023.06.05;;;В наличии;;;9,79E+12
1;9,78527E+12;7;1;2023.07.11;;;В наличии;;;9,79E+12
1;9,78536E+12;21;1;2023.10.04;;;В наличии;;;9,79E+12
1;9,78542E+12;50;1;2023.03.01;;;В наличии;;;9,79E+12
1;9,78517E+12;4;1;2023.08.04;;;В наличии;;;9,79E+12
1;9,78513E+12;19;1;2023.04.06;;;В наличии;;;9,79E+12
1;9,78519E+12;25;1;2023.02.03;;;В наличии;;;9,79E+12
1;9,78542E+12;5;1;2023.04.01;;;В наличии;;;9,79E+12
1;9,78551E+12;47;1;2023.11.05;;;В наличии;;;9,79E+12
1;9,78526E+12;36;1;2023.08.01;;;В наличии;;;9,79E+12
1;9,78516E+12;7;1;2023.02.02;;;В наличии;;;9,79E+12
1;9,78542E+12;11;1;2023.11.07;;;В наличии;;;9,79E+12
1;9,78521E+12;24;1;2023.11.11;;;В наличии;;;9,79E+12
1;9,78565E+12;12;1;2023.07.08;;;В наличии;;;9,79E+12
1;9,78516E+12;5;1;2023.04.09;;;В наличии;;;9,79E+12
1;9,78526E+12;19;1;2023.01.09;;;В наличии;;;9,79E+12
1;9,78542E+12;27;1;2023.09.05;;;В наличии;;;9,79E+12
1;9,78513E+12;34;1;2023.02.03;;;В наличии;;;9,79E+12
1;9,78567E+12;47;1;2023.08.03;;;В наличии;;;9,79E+12
1;9,78511E+12;36;1;2023.10.07;;;В наличии;;;9,79E+12
1;9,78521E+12;10;1;2023.09.04;;;В наличии;;;9,79E+12
1;9,78526E+12;23;1;2023.09.04;;;В наличии;;;9,79E+12
1;9,7859E+12;6;1;2023.06.04;;;В наличии;;;9,79E+12
1;9,78526E+12;39;1;2023.11.02;;;В наличии;;;9,79E+12
1;9,78551E+12;27;1;2023.01.06;;;В наличии;;;9,79E+12
1;9,78543E+12;17;1;2023.11.12;;;В наличии;;;9,79E+12
1;9,78567E+12;4;1;2023.06.07;;;В наличии;;;9,79E+12
1;9,78536E+12;2;1;2023.07.04;;;В наличии;;;9,79E+12
1;9,78511E+12;40;1;2023.10.10;;;В наличии;;;9,79E+12
1;9,78542E+12;29;1;2023.02.05;;;В наличии;;;9,79E+12
1;9,78521E+12;17;1;2023.07.10;;;В наличии;;;9,79E+12
1;9,78511E+12;25;1;2023.02.07;;;В наличии;;;9,79E+12
1;9,78511E+12;22;1;2023.06.05;;;В наличии;;;9,79E+12
1;9,78542E+12;9;1;2023.08.12;;;В наличии;;;9,79E+12
1;9,78521E+12;4;1;2023.05.01;;;В наличии;;;9,79E+12
1;9,78511E+12;6;1;2023.05.01;;;В наличии;;;9,79E+12
1;9,78536E+12;39;1;2023.04.04;;;В наличии;;;9,79E+12
1;9,78512E+12;13;1;2023.02.01;;;В наличии;;;9,79E+12
1;9,78536E+12;47;1;2023.03.05;;;В наличии;;;9,79E+12
1;9,78543E+12;13;1;2023.09.10;;;В наличии;;;9,79E+12
1;9,78512E+12;48;1;2023.10.11;;;В наличии;;;9,79E+12
1;9,78521E+12;42;1;2023.09.03;;;В наличии;;;9,79E+12
1;9,78516E+12;43;1;2023.04.04;;;В наличии;;;9,79E+12
1;9,78521E+12;49;1;2023.03.10;;;В наличии;;;9,79E+12
1;9,78516E+12;12;1;2023.09.09;;;В наличии;;;9,79E+12
1;9,78543E+12;25;1;2023.05.09;;;В наличии;;;9,79E+12
1;9,78516E+12;13;1;2023.01.04;;;В наличии;;;9,79E+12
1;9,78542E+12;21;1;2023.03.03;;;В наличии;;;9,79E+12
1;9,78512E+12;21;1;2023.06.12;;;В наличии;;;9,79E+12
1;9,78516E+12;47;1;2023.01.01;;;В наличии;;;9,79E+12
1;9,78516E+12;25;1;2023.03.05;;;В наличии;;;9,79E+12
1;9,78536E+12;30;1;2023.05.08;;;В наличии;;;9,79E+12
1;9,78526E+12;33;1;2023.02.10;;;В наличии;;;9,79E+12
1;9,78521E+12;13;1;2023.08.04;;;В наличии;;;9,79E+12
1;9,78527E+12;9;1;2023.09.03;;;В наличии;;;9,79E+12
1;9,78516E+12;15;1;2023.10.02;;;В наличии;;;9,79E+12
1;9,78551E+12;29;1;2023.09.05;;;В наличии;;;9,79E+12
1;9,7859E+12;48;1;2023.10.02;;;В наличии;;;9,79E+12
1;9,78516E+12;15;1;2023.09.04;;;В наличии;;;9,79E+12
1;9,78521E+12;33;1;2023.10.04;;;В наличии;;;9,79E+12
1;9,78511E+12;30;1;2023.01.01;;;В наличии;;;9,79E+12
1;9,78511E+12;13;1;2023.01.11;;;В наличии;;;9,79E+12
1;9,78565E+12;41;1;2023.10.07;;;В наличии;;;9,79E+12
1;9,78565E+12;7;1;2023.11.11;;;В наличии;;;9,79E+12
1;9,78519E+12;6;1;2023.08.11;;;В наличии;;;9,79E+12
1;9,78513E+12;39;1;2023.05.01;;;В наличии;;;9,79E+12
1;9,78542E+12;31;1;2023.04.01;;;В наличии;;;9,79E+12
1;9,78519E+12;18;1;2023.03.06;;;В наличии;;;9,79E+12
1;9,78516E+12;24;1;2023.10.04;;;В наличии;;;9,79E+12
1;9,78519E+12;13;1;2023.04.05;;;В наличии;;;9,79E+12
1;9,78551E+12;5;1;2023.02.10;;;В наличии;;;9,79E+12
1;9,78511E+12;12;1;2023.07.09;;;В наличии;;;9,79E+12
1;9,78521E+12;9;1;2023.01.04;;;В наличии;;;9,79E+12
1;9,78551E+12;23;1;2023.06.02;;;В наличии;;;9,79E+12
1;9,78513E+12;20;1;2023.08.05;;;В наличии;;;9,79E+12
1;9,78513E+12;13;1;2023.11.07;;;В наличии;;;9,79E+12
1;9,78565E+12;44;1;2023.10.10;;;В наличии;;;9,79E+12
1;9,78543E+12;2;1;2023.07.04;;;В наличии;;;9,79E+12
1;9,78551E+12;29;1;2023.05.08;;;В наличии;;;9,79E+12
1;9,78542E+12;46;1;2023.04.11;;;В наличии;;;9,79E+12
1;9,78516E+12;24;1;2023.05.11;;;В наличии;;;9,79E+12
1;9,78565E+12;4;1;2023.02.10;;;В наличии;;;9,79E+12
1;9,78565E+12;3;1;2023.11.08;;;В наличии;;;9,79E+12
1;9,7859E+12;38;1;2023.07.03;;;В наличии;;;9,79E+12
1;9,78526E+12;5;1;2023.02.08;;;В наличии;;;9,79E+12
1;9,78517E+12;40;1;2023.05.03;;;В наличии;;;9,79E+12
1;9,78516E+12;39;1;2023.06.03;;;В наличии;;;9,79E+12
1;9,78542E+12;36;1;2023.10.09;;;В наличии;;;9,79E+12
1;9,78542E+12;41;1;2023.07.07;;;В наличии;;;9,79E+12
1;9,78536E+12;27;1;2023.07.08;;;В наличии;;;9,79E+12
1;9,78513E+12;40;1;2023.01.05;;;В наличии;;;9,79E+12
1;9,7859E+12;10;1;2023.03.02;;;В наличии;;;9,79E+12
1;9,78551E+12;4;1;2023.09.08;;;В наличии;;;9,79E+12
1;9,78521E+12;29;1;2023.05.03;;;В наличии;;;9,79E+12
1;9,78511E+12;4;1;2023.05.08;;;В наличии;;;9,79E+12
1;9,78517E+12;11;1;2023.03.05;;;В наличии;;;9,79E+12
1;9,78519E+12;28;1;2023.09.12;;;В наличии;;;9,79E+12
1;9,78567E+12;24;1;2023.03.02;;;В наличии;;;9,79E+12
1;9,78551E+12;47;1;2023.03.12;;;В наличии;;;9,79E+12
1;9,78513E+12;33;1;2023.11.05;;;В наличии;;;9,79E+12
1;9,78567E+12;41;1;2023.04.05;;;В наличии;;;9,79E+12
1;9,78513E+12;42;1;2023.10.06;;;В наличии;;;9,79E+12
1;9,78512E+12;21;1;2023.01.08;;;В наличии;;;9,79E+12
1;9,78519E+12;34;1;2023.10.03;;;В наличии;;;9,79E+12
1;9,78517E+12;11;1;2023.02.07;;;В наличии;;;9,79E+12
1;9,78516E+12;31;1;2023.06.06;;;В наличии;;;9,79E+12
1;9,78521E+12;27;1;2023.06.03;;;В наличии;;;9,79E+12
1;9,78512E+12;25;1;2023.09.08;;;В наличии;;;9,79E+12
1;9,78543E+12;30;1;2023.03.07;;;В наличии;;;9,79E+12
2;9,7859E+12;14;1;2023.03.01;;;В наличии;;;
2;9,78567E+12;9;1;2023.10.12;;;В наличии;;;
2;9,78565E+12;39;1;2023.01.07;;;В наличии;;;
2;9,78511E+12;50;1;2023.10.12;;;В наличии;;;
2;9,78519E+12;12;1;2023.08.11;;;В наличии;;;
2;9,78516E+12;22;1;2023.04.06;;;В наличии;;;
2;9,78512E+12;42;1;2023.01.01;;;В наличии;;;
2;9,78512E+12;27;1;2023.01.06;;;В наличии;;;
2;9,78527E+12;7;1;2023.09.03;;;В наличии;;;
2;9,78513E+12;41;1;2023.10.05;;;В наличии;;;
2;9,78543E+12;25;1;2023.06.07;;;В наличии;;;
2;9,78519E+12;25;1;2023.06.11;;;В наличии;;;
2;9,78565E+12;47;1;2023.04.03;;;В наличии;;;
2;9,7859E+12;6;1;2023.05.02;;;В наличии;;;
2;9,78567E+12;2;1;2023.06.12;;;В наличии;;;
2;9,78565E+12;30;1;2023.07.05;;;В наличии;;;
2;9,78511E+12;10;1;2023.09.08;;;В наличии;;;
2;9,78519E+12;2;1;2023.08.08;;;В наличии;;;
2;9,78543E+12;37;1;2023.08.05;;;В наличии;;;
2;9,78512E+12;17;1;2023.05.04;;;В наличии;;;
2;9,78527E+12;50;1;2023.07.08;;;В наличии;;;
2;9,78527E+12;33;1;2023.06.04;;;В наличии;;;
2;9,78519E+12;23;1;2023.11.10;;;В наличии;;;
2;9,78543E+12;3;1;2023.10.03;;;В наличии;;;
2;9,78565E+12;45;1;2023.01.04;;;В наличии;;;
2;9,78527E+12;46;1;2023.03.06;;;В наличии;;;
2;9,78567E+12;23;1;2023.03.03;;;В наличии;;;
2;9,78526E+12;14;1;2023.07.04;;;В наличии;;;
2;9,78567E+12;8;1;2023.09.01;;;В наличии;;;
2;9,78521E+12;6;1;2023.06.10;;;В наличии;;;
2;9,78543E+12;8;1;2023.01.07;;;В наличии;;;
